date,close,return,vol10,vol30,mean10,mean30,r_lag1,r_lag2,r_lag3,cluster_k2,cluster_k3
2008-02-14,135.1699981689453,-0.008838512114694566,0.012526876367149274,0.013647490895037268,-0.0016144747842716759,-0.002323919491624906,0.010171001750267914,0.009228356537737334,0.005097025180120963,1,2
2008-02-15,135.13999938964844,-0.00022195834183699382,0.011118092072725657,0.013648745257863045,-0.0032326653099732823,-0.0023152163124326654,-0.008838512114694566,0.010171001750267914,0.009228356537737334,1,2
2008-02-19,135.52000427246094,0.0028079888225779393,0.01076644208124489,0.013017134363408723,-0.0016829276642259226,-0.001394559296251142,-0.00022195834183699382,-0.008838512114694566,0.010171001750267914,1,2
2008-02-20,135.9199981689453,0.0029472014619471025,0.006648833910232624,0.013040254252485728,0.001325694857453403,-0.0012680018140318776,0.0028079888225779393,-0.00022195834183699382,-0.008838512114694566,1,1
2008-02-21,134.7899932861328,-0.008348501951769092,0.006686563880271974,0.012811603739840235,0.0012992941579723061,-0.001003610194404416,0.0029472014619471025,0.0028079888225779393,-0.00022195834183699382,1,1
2008-02-22,135.6199951171875,0.006138859311718409,0.006651972251473371,0.012705902135131807,0.0012539600539951258,-0.0011474979169623562,-0.008348501951769092,0.0029472014619471025,0.0028079888225779393,1,1
2008-02-25,137.3300018310547,0.012529980623372603,0.006887795482079634,0.012871269552257354,0.003151144127944161,-0.0009475888794644156,0.006138859311718409,-0.008348501951769092,0.0029472014619471025,1,1
2008-02-26,138.36000061035156,0.00747218660486101,0.006990980488231303,0.012886324784150948,0.003388660270418166,-0.00042847485268731423,0.012529980623372603,0.006138859311718409,-0.008348501951769092,1,1
2008-02-27,138.22000122070312,-0.0010123609854538224,0.006808214067796518,0.012790337479687278,0.0023645885180990506,-0.0007299033573498487,0.00747218660486101,0.012529980623372603,0.006138859311718409,1,1
2008-02-28,136.8699951171875,-0.00981509294648858,0.007148272118729747,0.012276891590151646,0.0003659790484234008,-0.00031510877560120417,-0.0010123609854538224,0.00747218660486101,0.012529980623372603,1,1
