Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-1-29,43.96875,43.96875,43.75,43.9375,24.241413116455078,1003200,,
1993-2-1,43.96875,44.25,43.96875,44.25,24.41382598876953,480500,,
1993-2-2,44.21875,44.375,44.125,44.34375,24.46553611755371,201300,,
1993-2-3,44.40625,44.84375,44.375,44.8125,24.724180221557617,529400,,
1993-2-4,44.96875,45.09375,44.46875,45,24.827598571777344,531500,,
1993-2-5,44.96875,45.0625,44.71875,44.96875,24.81037139892578,492100,,
1993-2-8,44.96875,45.125,44.90625,44.96875,24.81037139892578,596100,,
1993-2-9,44.8125,44.8125,44.5625,44.65625,24.637962341308594,122100,,
1993-2-10,44.65625,44.75,44.53125,44.71875,24.672443389892578,379600,,
1993-2-11,44.78125,45.125,44.78125,44.9375,24.79314422607422,19500,,
1993-2-12,44.875,44.875,44.59375,44.59375,24.603477478027344,42500,,
1993-2-16,44.46875,44.46875,43.40625,43.46875,23.982770919799805,374800,,
1993-2-17,43.46875,43.53125,43.28125,43.4375,23.965543746948242,210900,,
1993-2-18,43.9375,43.9375,42.8125,43.40625,23.94831085205078,378100,,
1993-2-19,43.40625,43.5625,43.34375,43.5625,24.034513473510742,34900,,
1993-2-22,43.6875,43.78125,43.5625,43.71875,24.120712280273438,513600,,
1993-2-23,43.84375,43.875,43.46875,43.6875,24.10348129272461,373700,,
1993-2-24,43.71875,44.25,43.71875,44.25,24.41382598876953,26300,,
1993-2-25,44.21875,44.375,44.125,44.34375,24.46553611755371,44500,,
1993-2-26,44.4375,44.4375,44.1875,44.40625,24.50002670288086,66200,,
1993-3-1,44.5625,44.5625,44.21875,44.28125,24.43106460571289,66500,,
1993-3-2,44.3125,44.9375,44.25,44.9375,24.79314422607422,182400,,
1993-3-3,45,45.15625,44.9375,45.125,24.896581649780273,280100,,
1993-3-4,45.1875,45.1875,44.875,44.875,24.758651733398438,89500,,
1993-3-5,44.9375,45.125,44.71875,44.75,24.68968963623047,40000,,
1993-3-8,44.84375,45.75,44.84375,45.75,25.24140739440918,50800,,
1993-3-9,45.65625,45.6875,45.5,45.59375,25.15520668029785,169300,,
